dataset,model,roc_auc,pr_auc,delta,miscalibrated,tau_star,tau_bayes,tau_gap,precision_1,recall_1,f1_1,tp,fp,fn,tn,expected_cost,cfn,cfp,seed
ieee_cis,LR,0.8166529883254757,0.1742105700586541,0.41323231667477817,True,0.6890000000000001,0.09090909090909091,0.5980909090909091,0.197078870496592,0.49803149606299213,0.2824054695130459,2024,8246,2040,105798,28646.0,10.0,1.0,84
ieee_cis,RF,0.8654772053461477,0.42912338670593164,0.32854844882742906,True,0.115,0.09090909090909091,0.024090909090909093,0.23366141732283466,0.5841535433070866,0.3338020247469066,2374,7786,1690,106258,24686.0,10.0,1.0,84
ieee_cis,XGB,0.8758336698924327,0.4752839864634333,0.35280837605580617,True,0.527,0.09090909090909091,0.4360909090909091,0.27251023192360163,0.5898129921259843,0.3727838258164852,2397,6399,1667,107645,23069.0,10.0,1.0,84
ieee_cis,LGBM,0.8744751041661776,0.4834287472295647,0.34429470381191574,True,0.5730000000000001,0.09090909090909091,0.4820909090909091,0.27500582886453717,0.5804625984251969,0.37320044296788485,2359,6219,1705,107825,23269.0,10.0,1.0,84
ieee_cis,DNN,0.8116797202633766,0.20814159500575397,0.38053299034036964,True,0.593,0.09090909090909091,0.502090909090909,0.21364596960853377,0.5223917322834646,0.30326405256767375,2123,7814,1941,106230,27224.0,10.0,1.0,84
baf,LR,0.8615780063760005,0.135352200497797,0.7479980249867021,True,0.867,0.09090909090909091,0.776090909090909,0.2040319777546055,0.20837770678026268,0.2061819459079733,587,2290,2230,194893,24590.0,10.0,1.0,84
baf,RF,0.8570586276393093,0.15341838300667976,0.7278764254138166,True,0.097,0.09090909090909091,0.006090909090909091,0.1519903498190591,0.35782747603833864,0.21335591067837867,1008,5624,1809,191559,23714.0,10.0,1.0,84
baf,XGB,0.8715130110265497,0.15478052318236787,0.7333935569778058,True,0.851,0.09090909090909091,0.760090909090909,0.23332017370706673,0.20979765708200213,0.22093457943925235,591,1942,2226,195241,24202.0,10.0,1.0,84
baf,LGBM,0.8764311587135762,0.1571428724783992,0.7337946972489191,True,0.848,0.09090909090909091,0.757090909090909,0.21439371031146054,0.25168619098331557,0.23154800783801438,709,2598,2108,194585,23678.0,10.0,1.0,84
baf,DNN,0.8743333604259732,0.1636379688411485,0.7327857770037363,True,0.854,0.09090909090909091,0.763090909090909,0.1971631205673759,0.29605963791267303,0.23669646658152405,834,3396,1983,193787,23226.0,10.0,1.0,84
paysim,LR,0.8230738397353905,0.07530617103252055,0.8009967979695412,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,15,4254,1268255,42555.0,10.0,1.0,84
paysim,RF,0.6283877813203328,0.1594413460448246,0.6085778351536176,True,0.981,0.09090909090909091,0.890090909090909,0.872822299651568,0.11777150916784203,0.2075393537696769,501,73,3753,1268197,37603.0,10.0,1.0,84
paysim,XGB,0.9152494778999378,0.22934016728371717,0.7382505450443846,True,0.993,0.09090909090909091,0.902090909090909,0.9321428571428572,0.18406205923836388,0.30742049469964666,783,57,3471,1268213,34767.0,10.0,1.0,84
paysim,LGBM,0.6404949239350655,0.004709000285384291,0.6299736610614242,True,0.001,0.09090909090909091,0.08990909090909091,0.004781003762334067,0.9499294781382228,0.009514122857203398,4041,841179,213,427091,843309.0,10.0,1.0,84
paysim,DNN,0.9227278743624603,0.2518030760001815,0.900450583962755,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,0,4254,1268270,42540.0,10.0,1.0,84
elliptic,LR,0.841863,0.17469,0.4025,True,0.673,0.0909,0.5821,0.1174,0.8834,0.2072,394,2963,52,5904,3483.0,10.0,1.0,84
elliptic,RF,0.845577,0.577701,0.0332,False,0.373,0.0909,0.2821,0.6824,0.5202,0.5903,232,108,214,8759,2248.0,10.0,1.0,84
elliptic,XGB,0.841444,0.584234,0.0295,False,0.192,0.0909,0.1011,0.5347,0.5359,0.5353,239,208,207,8659,2278.0,10.0,1.0,84
elliptic,LGBM,0.873819,0.595493,0.0288,False,0.105,0.0909,0.0141,0.6071,0.5336,0.568,238,154,208,8713,2234.0,10.0,1.0,84
elliptic,CatBoost,0.873818,0.597341,0.0289,False,0.323,0.0909,0.2321,0.629,0.5247,0.5721,234,138,212,8729,2258.0,10.0,1.0,84
giveme,LR,0.824977,0.353789,0.4509,True,0.506,0.0909,0.4151,0.2535,0.6316,0.3618,1291,3801,753,24155,11331.0,10.0,1.0,84
giveme,RF,0.850748,0.372429,0.4708,True,0.107,0.0909,0.0161,0.255,0.6717,0.3697,1373,4011,671,23945,10721.0,10.0,1.0,84
giveme,XGB,0.858051,0.386773,0.4581,True,0.553,0.0909,0.4621,0.2743,0.6619,0.3878,1353,3580,691,24376,10490.0,10.0,1.0,84
giveme,LGBM,0.863312,0.40384,0.4577,True,0.571,0.0909,0.4801,0.2722,0.6742,0.3878,1378,3685,666,24271,10345.0,10.0,1.0,84
giveme,CatBoost,0.865911,0.403591,0.4553,True,0.578,0.0909,0.4871,0.2759,0.6791,0.3924,1388,3643,656,24313,10203.0,10.0,1.0,84
creditcard,LR,0.9819593228681421,0.741492154149806,0.20171023591601722,True,0.999,0.09090909090909091,0.9080909090909091,0.7215189873417721,0.76,0.7402597402597403,57,22,18,56865,202.0,10.0,1.0,168
creditcard,RF,0.9463227099337282,0.7934893610158777,0.17400074681423106,False,0.125,0.09090909090909091,0.03409090909090909,0.6744186046511628,0.7733333333333333,0.7204968944099379,58,28,17,56859,198.0,10.0,1.0,168
creditcard,XGB,0.9703158893947651,0.793535813552226,0.1873645439345537,False,0.111,0.09090909090909091,0.02009090909090909,0.7808219178082192,0.76,0.7702702702702703,57,16,18,56871,196.0,10.0,1.0,168
creditcard,LGBM,0.8849420781549386,0.02741265471733875,0.8675602987803163,True,1.0,0.09090909090909091,0.9090909090909091,0.033936651583710405,0.8,0.06511123168746609,60,1708,15,55179,1858.0,10.0,1.0,168
creditcard,DNN,0.9763095259022272,0.7914065389575767,0.17536861423534167,False,0.996,0.09090909090909091,0.9050909090909091,0.782608695652174,0.72,0.75,54,15,21,56872,225.0,10.0,1.0,168
ieee_cis,LR,0.8166529883254757,0.1742105700586541,0.41323231667477817,True,0.6890000000000001,0.09090909090909091,0.5980909090909091,0.197078870496592,0.49803149606299213,0.2824054695130459,2024,8246,2040,105798,28646.0,10.0,1.0,168
ieee_cis,RF,0.866687046702447,0.43078600997230454,0.3291522377414905,True,0.111,0.09090909090909091,0.02009090909090909,0.22970655487804878,0.593257874015748,0.33118131868131867,2411,8085,1653,105959,24615.0,10.0,1.0,168
ieee_cis,XGB,0.8771681145669844,0.47451878084732135,0.3526637782955141,True,0.526,0.09090909090909091,0.4350909090909091,0.2707188516317147,0.593996062992126,0.3719282027578769,2414,6503,1650,107541,23003.0,10.0,1.0,168
ieee_cis,LGBM,0.8742772832774587,0.4774700257549699,0.3450894267333652,True,0.5700000000000001,0.09090909090909091,0.4790909090909091,0.2755396513909731,0.5873523622047244,0.37510803802938636,2387,6276,1677,107768,23046.0,10.0,1.0,168
ieee_cis,DNN,0.8299219778966372,0.39909339515774434,0.3745516890585825,True,0.625,0.09090909090909091,0.5340909090909091,0.25693027721108846,0.5268208661417323,0.34540614664838265,2141,6192,1923,107852,25422.0,10.0,1.0,168
baf,LR,0.8615780063760005,0.135352200497797,0.7479980249867021,True,0.867,0.09090909090909091,0.776090909090909,0.2040319777546055,0.20837770678026268,0.2061819459079733,587,2290,2230,194893,24590.0,10.0,1.0,168
baf,RF,0.85781021660986,0.15553016666835617,0.7263780641531595,True,0.085,0.09090909090909091,0.0059090909090909055,0.13478360957642727,0.4156904508342208,0.20356366797044764,1171,7517,1646,189666,23977.0,10.0,1.0,168
baf,XGB,0.8760832561992427,0.15438308595119166,0.7332573594440617,True,0.839,0.09090909090909091,0.748090909090909,0.21836313617606604,0.22541711040113596,0.22183406113537119,635,2273,2182,194910,24093.0,10.0,1.0,168
baf,LGBM,0.8793019199745057,0.15693185982344213,0.7325985142104161,True,0.863,0.09090909090909091,0.772090909090909,0.21555555555555556,0.2410365637202698,0.22758505111446287,679,2471,2138,194712,23851.0,10.0,1.0,168
baf,DNN,0.8746079090190517,0.15997304208554947,0.7363326189469137,True,0.8140000000000001,0.09090909090909091,0.7230909090909091,0.20369874028410614,0.26979055733049345,0.23213194868662188,760,2971,2057,194212,23541.0,10.0,1.0,168
